	LING. ISSUE	QUESTION	SOURCE	NRC PBMT	NRC PBMT2	NRC's NMT	Google's NMT (March 2017)	REFERENCE (Pierre's translation)
S23e			He did not give [it ]to [her].	Il ne [] [lui] donner.	Il n'a pas [le] lui donner.	Il ne [l' ]a pas donné [à elle]. 	Il ne [] [lui] a pas donné.	Il ne [le] [lui] a pas donné.
								
S24a	Syn 3: Ordinal placement	Is the relative order of ordinals and numerals correct in the French translation)?	The [first four] men were exhausted. 	Les [quatre premiers] hommes étaient épuisés.	Les [quatre premiers] hommes ont été épuisés.	Les [quatre premiers] hommes ont été épuisés.	Les [quatre premiers] hommes étaient épuisés.	Les [quatre premiers] hommes étaient tous épuisés.
S24b			The [last three] candidates were eliminated.	Les [trois derniers] candidats ont été éliminés.	Les [trois derniers] candidats ont été éliminés.	Les [trois derniers] candidats ont été éliminés.	Les [trois derniers] candidats ont été éliminés.	Les [trois derniers] candidats ont été éliminés.
S24c			The other two guys left without paying.	Les [deux autres] mecs ont laissé sans payer.	Les [deux autres] gars laissés sans payer.	Les [deux autres] gars à gauche sans payer.	Les [deux autres] gars sont partis sans payer.	Les [deux autres] types sont partis sans payer.
								
S25a	Syn 4: Inalienable possession	Are the English possessive adjectives correctly rendered in the French translation?	He washed [his] hands.	Ils [se] lavait [les] mains.	Ils a lavé [les] mains.	Il a lavé [ses] mains.	Ils [se] lava [les] mains.	Ils [s']est lavé [les] mains.
S25b			I brushed [my] teeth.	J'ai brossé [mes] dents.	J'ai [mon] brossé [les] dents.	J' ai brossé [mes] dents.	Je [me] suis brossé [les] dents.	Je [me] suis brossé [les] dents.
S25c			You brushed [your] teeth.	Vous avez brossé [vos] dents.	Vous avez brossé [les] dents.	vous avez brossé [vos] dents.	Tu as brossé [les] dents.	Tu [t']es brossé [les] dents
S25d			I raised [my] hand.	J'ai levé [la] main.	J'ai levé [la] main.	J'ai soulevé [ma]main.	Je levai [la] main.	J'ai levé [la] main.
S25e			He turned [his] head.	Il a transformé [sa] tête.	Il a tourné [la] tête.	Il a tourné [sa] tête.	Il tourna [la] tête.	Il a tourné [la] tête.
			He raised his eyes to heaven.	Il a évoqué [les] yeux au ciel.	Il a levé [ses] yeux vers le ciel.	Il a levé [les] yeux sur le ciel.	Il leva [les] yeux au ciel.	Il leva [les] yeux au ciel.
								
S26a	Syn 9: Zero REL PRO	Is the Englisl NULL relative pronoun correctly rendered in the French translation?	The strangers [] the woman saw were working.	Les étrangers [] la femme vit travaillaient.	Les inconnus [] virent la femme travaillaient.	Les inconnus [de] la femme ont travaillé.	Les étrangers [que] la femme vit travaillaient.	Les inconnus [que] la femme vit travaillaient.
S26b			The man [] your sister hates is evil.	L'homme [] ta soeur hait est le mal.	L'homme [] hait votre sœur est le mal.	L' homme [que] ta soeur est le mal est le mal.	L'homme [que] votre sœur hait est méchant.	L'homme [que] votre sœur déteste est méchant.
S26c			The girl [] my friend was talking about is gone.	La jeune fille [] mon ami a parlé a disparu.	La jeune fille [] a parlé de mon ami est parti.	La petite fille [de] mon ami était révolue.	La fille [dont] mon ami parlait est partie.	La fille [dont] mon ami parlait est partie.
